,index,Gender,EthnicGroup,ParentEducation,LunchType,No: of Siblings,TransportMeans,WeeklyStudyHours,MathScore,ReadingScore,WritingScore
1563,2170,0,group B,high school,standard,4,private,> 10,50,47,44
1564,2172,0,group A,master's degree,standard,3,school_bus,< 5,66,66,71
1565,2173,0,group B,high school,standard,0,school_bus,5 - 10,82,91,91
1566,2174,0,group C,associate's degree,free/reduced,3,private,< 5,59,55,51
1567,2177,0,group D,some college,free/reduced,3,school_bus,5 - 10,73,70,72
1568,2178,0,group E,some college,standard,1,school_bus,5 - 10,51,47,41
1569,2179,0,group D,high school,standard,0,private,5 - 10,35,28,25
1570,2180,0,group D,high school,standard,3,private,5 - 10,64,59,63
1571,2181,0,group B,high school,standard,3,school_bus,< 5,32,43,34
1572,2182,0,group C,associate's degree,standard,2,school_bus,> 10,84,82,85
1573,2183,0,group C,bachelor's degree,free/reduced,2,school_bus,5 - 10,62,55,52
1574,2184,0,group A,some college,free/reduced,3,school_bus,5 - 10,26,35,30
1575,2185,0,group C,some high school,free/reduced,2,private,< 5,58,71,72
1576,2186,0,group D,bachelor's degree,free/reduced,0,private,5 - 10,67,75,71
1577,2187,0,group B,associate's degree,free/reduced,3,school_bus,5 - 10,53,57,55
1578,2188,0,group A,high school,standard,1,school_bus,< 5,52,42,48
1579,2189,0,group B,bachelor's degree,standard,2,school_bus,5 - 10,71,58,61
1580,2190,0,group B,master's degree,standard,3,school_bus,< 5,67,73,74
1581,2191,0,group E,high school,free/reduced,1,private,5 - 10,53,56,46
1582,2192,0,group B,some college,standard,2,school_bus,5 - 10,78,80,77
1583,2193,0,group B,associate's degree,free/reduced,3,school_bus,< 5,36,41,44
1584,2195,0,group D,some college,standard,3,private,< 5,77,77,81
1585,2196,0,group E,some high school,standard,1,school_bus,5 - 10,76,63,57
1586,2197,0,group E,associate's degree,standard,2,private,5 - 10,79,70,66
1587,2198,0,group C,high school,standard,2,school_bus,< 5,68,67,64
1588,2199,0,group D,some high school,free/reduced,3,school_bus,< 5,54,55,54
1589,2200,0,group E,associate's degree,standard,3,private,< 5,82,77,84
1590,2202,0,group B,associate's degree,free/reduced,4,private,< 5,34,44,45
1591,2204,0,group C,some college,standard,4,private,< 5,68,55,61
1592,2205,0,group C,bachelor's degree,standard,1,school_bus,5 - 10,54,66,75
1593,2206,0,group B,master's degree,standard,1,school_bus,5 - 10,67,77,78
1594,2207,0,group C,master's degree,free/reduced,1,school_bus,5 - 10,70,89,88
1595,2208,0,group A,high school,standard,3,private,5 - 10,63,65,65
1596,2210,0,group B,some college,standard,0,private,> 10,67,80,85
1597,2213,0,group C,some high school,standard,1,school_bus,< 5,55,62,57
1598,2214,0,group D,associate's degree,free/reduced,2,private,5 - 10,50,60,57
1599,2215,0,group D,some college,standard,1,school_bus,5 - 10,89,92,92
1600,2216,0,group D,some college,standard,0,school_bus,5 - 10,93,100,100
1601,2219,0,group D,high school,free/reduced,2,school_bus,5 - 10,48,64,61
1602,2220,0,group D,high school,standard,2,private,5 - 10,82,87,88
1603,2221,0,group B,high school,free/reduced,1,school_bus,< 5,49,60,57
1604,2222,0,group C,some high school,free/reduced,2,private,5 - 10,67,74,65
1605,2223,0,group E,master's degree,free/reduced,2,private,> 10,88,91,90
1606,2224,0,group A,associate's degree,free/reduced,2,school_bus,< 5,76,79,86
1607,2225,0,group C,bachelor's degree,standard,3,school_bus,5 - 10,93,78,83
1608,2226,0,group D,associate's degree,standard,2,private,5 - 10,61,48,45
1609,2227,0,group B,some high school,standard,1,school_bus,5 - 10,71,74,73
1610,2232,0,group D,some high school,standard,2,private,> 10,67,59,65
1611,2233,0,group A,some high school,standard,1,school_bus,5 - 10,60,66,63
1612,2236,0,group D,some high school,standard,0,school_bus,5 - 10,65,54,55
1613,2237,0,group A,some high school,free/reduced,4,school_bus,5 - 10,52,65,59
1614,2238,0,group B,high school,standard,2,school_bus,< 5,51,68,63
1615,2239,0,group D,bachelor's degree,free/reduced,0,private,5 - 10,43,63,60
1616,2240,0,group D,some college,standard,1,private,< 5,78,65,72
1617,2241,0,group C,bachelor's degree,standard,0,private,5 - 10,57,65,71
1618,2243,0,group A,some high school,standard,3,school_bus,> 10,58,51,53
1619,2244,0,group C,high school,standard,0,school_bus,5 - 10,77,90,79
1620,2245,0,group D,high school,standard,1,private,> 10,43,62,61
1621,2246,0,group D,master's degree,standard,3,school_bus,> 10,63,65,71
1622,2248,0,group D,some college,standard,0,school_bus,5 - 10,76,64,56
1623,2250,0,group C,high school,standard,1,private,> 10,92,87,83
1624,2251,0,group B,associate's degree,free/reduced,0,private,5 - 10,79,83,80
1625,2252,0,group D,master's degree,free/reduced,1,private,5 - 10,52,55,50
1626,2253,0,group E,some high school,free/reduced,3,private,5 - 10,64,52,52
1627,2255,0,group A,high school,standard,3,private,> 10,91,98,100
1628,2256,0,group A,some college,free/reduced,3,private,5 - 10,32,40,29
1629,2257,0,group D,some college,free/reduced,1,private,5 - 10,56,56,63
1630,2258,0,group B,some high school,free/reduced,3,school_bus,5 - 10,44,67,65
1631,2259,0,group C,some college,standard,1,private,5 - 10,62,75,75
1632,2260,0,group A,bachelor's degree,standard,0,school_bus,< 5,67,80,78
1633,2261,0,group C,bachelor's degree,standard,1,private,5 - 10,89,90,92
1634,2262,0,group C,some high school,free/reduced,0,school_bus,< 5,42,40,44
1635,2263,0,group D,high school,standard,0,private,5 - 10,45,61,69
1636,2265,0,group E,some college,free/reduced,5,private,5 - 10,77,76,74
1637,2266,0,group D,master's degree,standard,0,school_bus,5 - 10,99,90,93
1638,2267,0,group C,high school,free/reduced,3,private,> 10,69,50,54
1639,2268,0,group A,associate's degree,standard,2,school_bus,5 - 10,72,64,60
1640,2269,0,group C,some high school,standard,4,school_bus,> 10,80,66,67
1641,2270,0,group E,some college,standard,0,private,5 - 10,94,85,85
1642,2272,0,group E,associate's degree,free/reduced,1,school_bus,< 5,63,71,69
1643,2273,0,group D,high school,standard,3,school_bus,> 10,99,98,100
1644,2274,0,group C,high school,free/reduced,3,school_bus,5 - 10,64,83,80
1645,2275,0,group C,associate's degree,free/reduced,1,school_bus,5 - 10,90,86,93
1646,2276,0,group E,some high school,free/reduced,1,private,< 5,60,77,74
1647,2278,0,group D,bachelor's degree,standard,7,school_bus,5 - 10,71,70,72
1648,2279,0,group B,some high school,free/reduced,1,private,5 - 10,54,77,65
1649,2281,0,group B,master's degree,free/reduced,1,school_bus,5 - 10,70,90,86
1650,2283,0,group D,some college,standard,4,private,< 5,60,66,67
1651,2285,0,group E,some college,standard,2,school_bus,< 5,85,78,73
1652,2288,0,group A,high school,free/reduced,1,private,< 5,33,54,45
1653,2289,0,group C,some college,standard,7,private,< 5,72,72,79
1654,2290,0,group D,bachelor's degree,free/reduced,2,school_bus,< 5,66,69,72
1655,2291,0,group C,associate's degree,standard,4,school_bus,5 - 10,67,71,70
1656,2292,0,group B,some college,standard,3,school_bus,5 - 10,86,78,72
1657,2293,0,group C,some college,standard,3,school_bus,< 5,74,87,84
1658,2294,0,group C,bachelor's degree,standard,1,school_bus,5 - 10,82,87,87
1659,2295,0,group D,associate's degree,standard,2,school_bus,< 5,76,63,57
1660,2296,0,group C,some college,standard,2,private,< 5,71,74,70
1661,2297,0,group D,bachelor's degree,standard,3,school_bus,5 - 10,65,82,84
1662,2299,0,group D,some high school,standard,1,school_bus,5 - 10,82,71,74
1663,2300,0,group D,some college,standard,2,school_bus,5 - 10,64,74,80
1664,2301,0,group A,high school,standard,2,school_bus,> 10,73,79,78
1665,2302,0,group A,some high school,standard,1,private,5 - 10,93,89,87
1666,2304,0,group D,associate's degree,standard,2,school_bus,5 - 10,77,75,74
1667,2307,0,group C,high school,free/reduced,1,private,5 - 10,81,87,79
1668,2308,0,group C,some high school,standard,2,school_bus,> 10,89,82,76
1669,2309,0,group D,some high school,standard,1,school_bus,5 - 10,61,74,74
1670,2310,0,group C,high school,standard,4,private,5 - 10,66,71,77
1671,2312,0,group D,bachelor's degree,standard,1,school_bus,5 - 10,73,74,74
1672,2313,0,group B,high school,free/reduced,0,private,> 10,67,66,72
1673,2314,0,group E,some college,free/reduced,2,private,5 - 10,82,79,76
1674,2316,0,group C,some high school,free/reduced,4,private,> 10,58,73,67
1675,2317,0,group D,bachelor's degree,standard,1,school_bus,< 5,90,82,84
1676,2318,0,group D,bachelor's degree,free/reduced,5,school_bus,5 - 10,87,99,100
1677,2319,0,group A,master's degree,standard,2,school_bus,5 - 10,68,78,81
1678,2320,0,group E,some college,standard,3,school_bus,5 - 10,60,71,67
1679,2321,0,group D,high school,standard,2,school_bus,> 10,75,74,74
1680,2322,0,group C,some high school,standard,2,private,< 5,83,97,98
1681,2327,0,group B,high school,standard,2,private,5 - 10,67,70,67
1682,2328,0,group D,some college,free/reduced,4,private,5 - 10,49,54,50
1683,2331,0,group D,associate's degree,standard,2,school_bus,5 - 10,75,86,91
1684,2332,0,group B,some high school,standard,3,school_bus,5 - 10,54,72,77
1685,2333,0,group E,bachelor's degree,standard,1,private,5 - 10,100,87,86
1686,2335,0,group D,associate's degree,standard,3,school_bus,< 5,83,89,85
1687,2336,0,group A,some college,free/reduced,4,private,> 10,87,91,90
1688,2337,0,group C,some college,standard,2,private,5 - 10,80,96,98
1689,2338,0,group C,some high school,free/reduced,1,school_bus,< 5,31,46,46
1690,2339,0,group C,some college,free/reduced,1,school_bus,< 5,67,87,74
1691,2340,0,group C,high school,standard,3,private,> 10,58,52,46
1692,2341,0,group A,some high school,standard,6,school_bus,< 5,74,72,68
1693,2342,0,group D,associate's degree,free/reduced,0,school_bus,5 - 10,83,85,84
1694,2343,0,group C,some college,standard,0,school_bus,5 - 10,79,83,83
1695,2344,0,group E,some high school,free/reduced,2,school_bus,> 10,57,54,42
1696,2345,0,group A,associate's degree,free/reduced,5,private,5 - 10,46,53,42
1697,2346,0,group C,bachelor's degree,free/reduced,1,school_bus,5 - 10,70,76,67
1698,2347,0,group D,bachelor's degree,standard,2,school_bus,5 - 10,72,71,74
1699,2348,0,group C,some high school,standard,1,private,5 - 10,53,60,72
1700,2349,0,group D,some college,free/reduced,2,school_bus,> 10,43,59,51
1701,2350,0,group C,high school,standard,2,school_bus,5 - 10,45,52,48
1702,2351,0,group D,master's degree,free/reduced,0,private,5 - 10,43,41,44
1703,2352,0,group C,some college,standard,3,private,5 - 10,28,31,36
1704,2353,0,group D,some college,standard,2,school_bus,5 - 10,73,75,72
1705,2355,0,group D,high school,free/reduced,1,private,> 10,67,73,71
1706,2357,0,group D,bachelor's degree,standard,2,private,< 5,63,61,56
1707,2358,0,group C,associate's degree,standard,2,school_bus,5 - 10,60,56,58
1708,2359,0,group D,bachelor's degree,free/reduced,3,private,5 - 10,72,82,86
1709,2361,0,group A,associate's degree,free/reduced,2,school_bus,> 10,59,69,66
1710,2362,0,group B,some high school,free/reduced,2,private,5 - 10,41,60,60
1711,2363,0,group C,some college,free/reduced,4,school_bus,< 5,36,55,52
1712,2364,0,group D,master's degree,standard,3,school_bus,> 10,85,92,100
1713,2366,0,group C,master's degree,standard,0,school_bus,> 10,65,62,61
1714,2367,0,group B,some high school,standard,1,school_bus,5 - 10,61,53,50
1715,2368,0,group B,some high school,free/reduced,5,school_bus,5 - 10,58,72,65
1716,2369,0,group D,master's degree,standard,2,school_bus,5 - 10,67,84,83
1717,2371,0,group D,associate's degree,standard,3,private,> 10,57,54,54
1718,2372,0,group E,some college,standard,0,school_bus,5 - 10,76,69,66
1719,2374,0,group C,associate's degree,free/reduced,0,school_bus,5 - 10,65,55,57
1720,2375,0,group B,bachelor's degree,free/reduced,1,school_bus,5 - 10,73,92,98
1721,2376,0,group C,high school,standard,3,school_bus,5 - 10,56,57,57
1722,2377,0,group E,master's degree,standard,1,school_bus,> 10,100,92,93
1723,2378,0,group B,associate's degree,free/reduced,4,school_bus,5 - 10,47,71,63
1724,2380,0,group C,associate's degree,free/reduced,5,school_bus,5 - 10,71,73,65
1725,2381,0,group C,associate's degree,free/reduced,0,school_bus,5 - 10,52,57,53
1726,2383,0,group D,some college,standard,3,private,5 - 10,85,82,90
1727,2384,0,group B,some high school,standard,3,private,5 - 10,55,68,73
1728,2385,0,group B,associate's degree,standard,3,private,5 - 10,61,75,76
1729,2386,0,group C,some high school,standard,3,private,< 5,55,61,63
1730,2388,0,group C,associate's degree,standard,1,private,< 5,83,74,70
1731,2389,0,group D,some college,free/reduced,2,school_bus,< 5,51,63,62
1732,2391,0,group D,associate's degree,standard,0,private,< 5,82,87,91
1733,2394,0,group C,associate's degree,free/reduced,2,school_bus,5 - 10,51,68,74
1734,2395,0,group C,some college,free/reduced,1,school_bus,< 5,63,59,59
1735,2396,0,group D,some college,standard,0,school_bus,5 - 10,73,60,62
1736,2398,0,group C,associate's degree,standard,0,private,5 - 10,82,69,71
1737,2399,0,group D,high school,standard,5,school_bus,> 10,91,81,81
1738,2400,0,group E,associate's degree,standard,3,school_bus,< 5,93,90,87
1739,2401,0,group A,some high school,standard,3,school_bus,5 - 10,55,57,53
1740,2405,0,group E,some college,standard,0,school_bus,5 - 10,98,82,85
1741,2407,0,group E,high school,standard,2,private,5 - 10,68,62,61
1742,2408,0,group D,some college,standard,3,school_bus,< 5,52,44,50
1743,2409,0,group A,some college,standard,3,private,5 - 10,85,90,90
1744,2410,0,group A,high school,standard,1,school_bus,5 - 10,44,37,28
1745,2411,0,group C,high school,free/reduced,1,school_bus,< 5,28,39,42
1746,2413,0,group C,bachelor's degree,standard,3,private,5 - 10,89,92,88
1747,2415,0,group C,associate's degree,standard,1,school_bus,5 - 10,69,87,72
1748,2416,0,group C,bachelor's degree,standard,1,private,> 10,46,59,60
1749,2417,0,group C,bachelor's degree,free/reduced,3,school_bus,5 - 10,29,40,43
1750,2418,0,group D,bachelor's degree,standard,3,school_bus,< 5,64,73,76
1751,2419,0,group D,master's degree,free/reduced,0,school_bus,> 10,66,89,97
1752,2420,0,group E,bachelor's degree,standard,3,school_bus,< 5,67,52,51
1753,2421,0,group D,associate's degree,free/reduced,0,school_bus,5 - 10,53,62,65
1754,2422,0,group D,associate's degree,standard,0,school_bus,5 - 10,59,66,63
1755,2423,0,group E,some college,standard,1,school_bus,5 - 10,89,79,73
1756,2424,0,group D,some high school,standard,0,private,5 - 10,74,69,67
1757,2425,0,group A,bachelor's degree,standard,4,private,5 - 10,61,66,68
1758,2427,0,group B,some college,free/reduced,1,school_bus,5 - 10,78,71,72
1759,2428,0,group C,some high school,standard,2,school_bus,5 - 10,79,82,77
1760,2429,0,group B,associate's degree,standard,4,school_bus,< 5,48,60,58
1761,2432,0,group D,high school,standard,1,school_bus,5 - 10,59,48,44
1762,2434,0,group C,some college,standard,4,school_bus,5 - 10,73,70,67
1763,2435,0,group E,bachelor's degree,standard,2,school_bus,< 5,99,95,100
1764,2436,0,group C,some college,standard,3,school_bus,5 - 10,55,65,65
1765,2437,0,group B,some college,standard,3,private,5 - 10,81,91,83
1766,2438,0,group D,master's degree,standard,4,private,5 - 10,88,100,100
1767,2439,0,group C,bachelor's degree,standard,2,private,5 - 10,89,100,100
1768,2440,0,group C,high school,standard,1,school_bus,5 - 10,49,46,42
1769,2441,0,group C,some high school,free/reduced,1,private,< 5,34,60,52
1770,2442,0,group B,high school,standard,1,private,5 - 10,58,66,72
1771,2444,0,group C,associate's degree,standard,2,school_bus,5 - 10,51,51,44
1772,2445,0,group C,high school,standard,1,private,5 - 10,77,80,72
1773,2446,0,group D,some college,standard,1,school_bus,5 - 10,83,79,78
1774,2447,0,group C,associate's degree,free/reduced,1,school_bus,5 - 10,87,97,97
1775,2449,0,group B,associate's degree,free/reduced,0,school_bus,< 5,61,70,73
1776,2451,0,group C,some high school,free/reduced,4,school_bus,< 5,81,79,80
1777,2452,0,group A,associate's degree,free/reduced,3,school_bus,5 - 10,42,46,50
1778,2453,0,group B,bachelor's degree,standard,4,private,> 10,89,86,84
1779,2454,0,group B,master's degree,standard,3,private,< 5,79,90,82
1780,2455,0,group C,bachelor's degree,standard,0,private,5 - 10,43,50,53
1781,2456,0,group C,associate's degree,free/reduced,2,school_bus,5 - 10,44,57,51
1782,2459,0,group D,associate's degree,free/reduced,4,school_bus,5 - 10,42,65,66
1783,2460,0,group B,associate's degree,standard,4,private,5 - 10,98,88,80
1784,2461,0,group C,high school,standard,2,school_bus,5 - 10,51,60,56
1785,2463,0,group B,high school,standard,1,private,5 - 10,37,43,39
1786,2464,0,group C,some high school,free/reduced,2,private,< 5,40,34,37
1787,2466,0,group D,some high school,standard,0,private,> 10,85,79,85
1788,2467,0,group A,some high school,standard,3,private,> 10,60,74,79
1789,2468,0,group D,high school,free/reduced,3,private,< 5,57,69,62
1790,2469,0,group D,some high school,free/reduced,6,private,5 - 10,43,41,36
1791,2471,0,group C,associate's degree,free/reduced,3,school_bus,> 10,71,85,88
1792,2472,0,group C,high school,free/reduced,0,school_bus,5 - 10,61,62,62
1793,2473,0,group C,high school,free/reduced,7,school_bus,> 10,65,72,72
1794,2474,0,group B,some college,standard,2,school_bus,5 - 10,58,59,57
1795,2476,0,group C,high school,free/reduced,1,private,5 - 10,58,58,63
1796,2478,0,group D,some high school,standard,4,private,> 10,58,49,53
1797,2479,0,group D,associate's degree,standard,1,private,> 10,31,55,46
1798,2481,0,group D,some college,standard,2,school_bus,5 - 10,76,65,65
1799,2482,0,group D,high school,standard,2,private,5 - 10,82,96,98
1800,2484,0,group A,some college,standard,3,private,> 10,100,100,100
1801,2487,0,group C,some college,standard,1,school_bus,5 - 10,87,76,72
1802,2489,0,group C,high school,free/reduced,1,private,5 - 10,39,46,40
1803,2490,0,group C,high school,free/reduced,1,private,< 5,52,59,60
1804,2491,0,group A,some college,free/reduced,1,school_bus,< 5,68,73,72
1805,2493,0,group B,some high school,standard,1,school_bus,5 - 10,79,76,74
1806,2494,0,group E,high school,standard,1,private,< 5,84,92,93
1807,2495,0,group B,associate's degree,standard,0,school_bus,5 - 10,61,55,52
1808,2497,0,group A,associate's degree,standard,3,school_bus,> 10,73,85,87
1809,2499,0,group A,some college,standard,3,private,5 - 10,75,69,72
1810,2500,0,group D,some high school,standard,3,school_bus,5 - 10,63,73,66
1811,2501,0,group D,some college,standard,0,school_bus,< 5,76,79,90
1812,2502,0,group B,high school,standard,3,private,5 - 10,39,48,35
1813,2503,0,group D,some college,free/reduced,4,private,5 - 10,48,66,70
1814,2504,0,group D,bachelor's degree,standard,2,school_bus,< 5,58,65,71
1815,2507,0,group C,some college,free/reduced,5,private,5 - 10,65,72,66
1816,2510,0,group B,high school,free/reduced,1,private,< 5,51,63,65
1817,2511,0,group B,high school,free/reduced,0,school_bus,5 - 10,34,39,45
1818,2512,0,group A,associate's degree,standard,2,school_bus,5 - 10,93,100,100
1819,2513,0,group E,bachelor's degree,standard,3,school_bus,5 - 10,90,87,76
1820,2515,0,group D,associate's degree,standard,2,school_bus,< 5,68,74,76
1821,2519,0,group D,some college,free/reduced,2,school_bus,< 5,50,58,60
1822,2521,0,group D,associate's degree,free/reduced,2,school_bus,< 5,51,60,60
1823,2522,0,group A,some high school,free/reduced,3,school_bus,> 10,51,47,47
1824,2523,0,group E,associate's degree,standard,2,private,5 - 10,69,64,67
1825,2524,0,group E,some high school,standard,4,school_bus,5 - 10,72,66,62
1826,2525,0,group C,some high school,free/reduced,7,school_bus,5 - 10,42,50,53
1827,2526,0,group E,some college,free/reduced,1,private,5 - 10,72,79,85
1828,2527,0,group A,bachelor's degree,free/reduced,3,private,5 - 10,42,60,53
1829,2528,0,group D,associate's degree,standard,5,private,> 10,86,92,100
1830,2529,0,group B,high school,standard,2,private,5 - 10,74,89,84
1831,2530,0,group C,some high school,standard,5,private,5 - 10,51,53,49
1832,2531,0,group E,high school,free/reduced,2,school_bus,> 10,59,68,69
1833,2533,0,group E,associate's degree,standard,3,school_bus,> 10,98,87,85
1834,2534,0,group D,some high school,free/reduced,1,private,> 10,60,79,67
1835,2535,0,group C,bachelor's degree,free/reduced,3,private,5 - 10,68,70,74
1836,2537,0,group E,high school,free/reduced,3,private,> 10,79,77,77
1837,2542,0,group B,some high school,standard,1,school_bus,< 5,79,81,78
1838,2543,0,group C,some college,standard,2,school_bus,< 5,58,58,56
1839,2544,0,group D,master's degree,free/reduced,3,school_bus,5 - 10,82,81,87
1840,2545,0,group B,associate's degree,free/reduced,4,private,5 - 10,62,68,69
1841,2546,0,group D,some high school,standard,1,school_bus,> 10,85,63,61
1842,2547,0,group C,associate's degree,free/reduced,0,school_bus,5 - 10,72,64,67
1843,2548,0,group C,bachelor's degree,standard,1,school_bus,> 10,92,86,84
1844,2549,0,group A,associate's degree,free/reduced,1,private,5 - 10,28,34,34
1845,2550,0,group B,high school,free/reduced,1,school_bus,5 - 10,70,79,76
1846,2552,0,group E,bachelor's degree,free/reduced,1,school_bus,5 - 10,84,76,73
1847,2554,0,group C,bachelor's degree,standard,3,school_bus,5 - 10,82,95,98
1848,2557,0,group B,associate's degree,standard,2,school_bus,< 5,79,64,64
1849,2558,0,group C,associate's degree,standard,0,school_bus,5 - 10,74,77,72
1850,2559,0,group B,associate's degree,free/reduced,2,school_bus,5 - 10,45,53,55
1851,2561,0,group B,high school,standard,7,private,5 - 10,51,69,60
1852,2562,0,group C,bachelor's degree,free/reduced,0,school_bus,> 10,80,91,90
1853,2563,0,group B,some college,standard,1,private,> 10,80,66,67
1854,2564,0,group D,bachelor's degree,standard,6,private,< 5,63,63,58
1855,2565,0,group B,some college,standard,4,school_bus,< 5,62,60,64
1856,2567,0,group D,some high school,standard,2,school_bus,5 - 10,66,62,64
1857,2568,0,group A,some college,standard,3,private,5 - 10,62,55,55
1858,2570,0,group C,some high school,standard,5,school_bus,5 - 10,71,91,89
1859,2572,0,group D,high school,free/reduced,2,school_bus,> 10,63,64,66
1860,2573,0,group E,high school,standard,3,school_bus,5 - 10,59,50,54
1861,2576,0,group A,some college,standard,2,school_bus,< 5,44,53,49
1862,2577,0,group C,high school,free/reduced,3,private,> 10,44,57,58
1863,2578,0,group B,high school,standard,1,private,> 10,63,69,68
1864,2579,0,group C,bachelor's degree,standard,2,school_bus,5 - 10,54,71,69
1865,2580,0,group A,bachelor's degree,standard,5,school_bus,< 5,67,58,58
1866,2581,0,group E,some high school,standard,2,private,> 10,80,71,64
1867,2585,0,group A,some high school,free/reduced,4,school_bus,> 10,55,71,57
1868,2586,0,group E,high school,free/reduced,1,private,> 10,62,49,46
1869,2587,0,group E,high school,free/reduced,1,school_bus,5 - 10,68,62,56
1870,2589,0,group E,some high school,free/reduced,3,school_bus,< 5,49,62,57
1871,2590,0,group C,some high school,standard,0,school_bus,5 - 10,57,63,63
1872,2593,0,group E,some college,standard,2,school_bus,< 5,96,82,77
1873,2596,0,group D,bachelor's degree,standard,2,school_bus,> 10,75,79,82
1874,2598,0,group D,associate's degree,free/reduced,1,school_bus,< 5,68,66,64
1875,2599,0,group B,high school,standard,1,school_bus,< 5,67,76,71
1876,2600,0,group C,some college,free/reduced,3,school_bus,< 5,74,60,60
1877,2601,0,group E,some college,standard,3,school_bus,5 - 10,61,75,71
1878,2602,0,group C,bachelor's degree,standard,1,school_bus,> 10,93,100,98
1879,2603,0,group C,some high school,standard,5,school_bus,5 - 10,47,53,45
1880,2604,0,group C,high school,standard,2,private,> 10,71,77,68
1881,2605,0,group D,some college,free/reduced,1,private,> 10,62,60,57
1882,2606,0,group C,bachelor's degree,free/reduced,3,private,5 - 10,71,79,79
1883,2609,0,group D,some high school,standard,1,school_bus,5 - 10,64,71,68
1884,2612,0,group C,associate's degree,standard,2,private,< 5,71,69,64
1885,2614,0,group D,high school,standard,3,private,5 - 10,79,87,91
1886,2615,0,group A,some college,standard,0,school_bus,5 - 10,56,59,58
1887,2616,0,group E,associate's degree,standard,2,school_bus,5 - 10,96,93,88
1888,2617,0,group B,bachelor's degree,standard,0,school_bus,5 - 10,90,94,86
1889,2618,0,group D,high school,free/reduced,4,private,5 - 10,34,32,29
1890,2619,0,group C,bachelor's degree,free/reduced,1,school_bus,> 10,69,65,67
1891,2620,0,group D,associate's degree,standard,4,school_bus,5 - 10,67,59,62
1892,2621,0,group D,associate's degree,standard,2,private,5 - 10,93,88,81
1893,2622,0,group C,high school,free/reduced,4,school_bus,< 5,73,69,68
1894,2623,0,group B,some high school,standard,2,private,< 5,60,75,70
1895,2624,0,group C,high school,standard,0,private,< 5,65,68,61
1896,2625,0,group D,high school,free/reduced,2,school_bus,> 10,56,69,77
1897,2627,0,group E,bachelor's degree,standard,4,private,5 - 10,73,77,74
1898,2628,0,group C,some high school,standard,0,school_bus,< 5,74,68,65
1899,2632,0,group D,master's degree,standard,3,school_bus,5 - 10,92,84,86
1900,2633,0,group C,some college,standard,2,private,> 10,72,60,62
1901,2634,0,group B,some college,standard,3,private,> 10,67,73,81
1902,2635,0,group C,high school,free/reduced,3,private,5 - 10,71,81,74
1903,2636,0,group C,master's degree,standard,1,school_bus,5 - 10,71,87,87
1904,2637,0,group D,associate's degree,free/reduced,0,school_bus,5 - 10,87,81,79
1905,2639,0,group D,associate's degree,free/reduced,2,school_bus,5 - 10,53,55,50
1906,2640,0,group D,high school,standard,1,private,5 - 10,67,68,77
1907,2642,0,group D,associate's degree,standard,2,private,< 5,71,88,92
1908,2643,0,group D,some college,standard,3,private,> 10,61,59,66
1909,2644,0,group C,some college,standard,1,school_bus,< 5,64,78,76
1910,2645,0,group E,bachelor's degree,free/reduced,0,school_bus,> 10,56,56,51
1911,2647,0,group C,high school,free/reduced,2,school_bus,< 5,57,71,68
1912,2648,0,group D,some college,free/reduced,2,private,5 - 10,59,74,73
1913,2649,0,group D,bachelor's degree,free/reduced,3,private,5 - 10,70,74,73
1914,2651,0,group D,master's degree,standard,3,school_bus,5 - 10,100,100,100
1915,2652,0,group D,some college,standard,3,private,< 5,47,52,56
1916,2653,0,group E,associate's degree,standard,3,school_bus,5 - 10,79,81,83
1917,2654,0,group C,high school,standard,4,school_bus,< 5,52,66,73
1918,2655,0,group D,some high school,free/reduced,1,school_bus,< 5,37,45,41
1919,2656,0,group D,high school,standard,2,private,5 - 10,79,89,100
1920,2657,0,group E,some college,standard,3,private,5 - 10,95,82,86
1921,2658,0,group B,high school,free/reduced,1,school_bus,< 5,47,54,50
1922,2660,0,group B,some college,free/reduced,2,school_bus,> 10,60,66,67
1923,2661,0,group C,associate's degree,free/reduced,0,school_bus,5 - 10,60,86,84
1924,2662,0,group C,some college,free/reduced,2,school_bus,5 - 10,74,79,78
1925,2663,0,group E,bachelor's degree,standard,0,school_bus,< 5,76,83,82
1926,2664,0,group B,high school,standard,3,school_bus,> 10,76,87,90
1927,2665,0,group D,some college,free/reduced,1,school_bus,5 - 10,57,77,85
1928,2667,0,group C,master's degree,free/reduced,3,school_bus,< 5,54,79,70
1929,2668,0,group E,some college,standard,0,school_bus,< 5,81,76,78
1930,2669,0,group C,bachelor's degree,standard,2,private,< 5,82,90,96
1931,2671,0,group C,some high school,standard,2,school_bus,< 5,54,41,40
1932,2672,0,group D,master's degree,standard,1,school_bus,< 5,84,72,74
1933,2673,0,group C,some college,standard,3,school_bus,5 - 10,61,55,51
1934,2674,0,group B,some college,free/reduced,3,school_bus,5 - 10,52,51,43
1935,2675,0,group C,some high school,standard,4,school_bus,> 10,73,72,68
1936,2676,0,group D,some high school,free/reduced,1,school_bus,5 - 10,82,92,97
1937,2677,0,group C,some college,free/reduced,0,school_bus,< 5,57,49,52
1938,2678,0,group E,high school,free/reduced,1,school_bus,< 5,54,51,47
1939,2679,0,group A,high school,free/reduced,3,school_bus,5 - 10,27,41,43
1940,2680,0,group D,high school,standard,4,school_bus,> 10,74,82,82
1941,2684,0,group D,some college,standard,5,school_bus,< 5,86,72,70
1942,2685,0,group E,some high school,standard,1,private,5 - 10,86,93,94
